CULTIVO ;LABOR;UNIDAD;RENDIMIENTO;KEY
VERONICA;Trinchado;camas/hora;4;VERONICATrinchado
VERONICA;Siembra;plantas/hora;1000;VERONICASiembra
VERONICA;Tejido viejo;camas/hora;6;VERONICATejido viejo
VERONICA;Tumba;camas/hora;3;VERONICATumba
VERONICA;Tutoreo;camas/hora;6;VERONICATutoreo
SOLIDAGO;Armado de camas;camas/hora;0.6;SOLIDAGOArmado de camas
SOLIDAGO;Alzado de hombros con compost;camas/hora;4;SOLIDAGOAlzado de hombros con compost
SOLIDAGO;Alzado de hombros sin compost;camas/hora;6;SOLIDAGOAlzado de hombros sin compost
SOLIDAGO;Cambio de escalerillas poda;camas/hora;5;SOLIDAGOCambio de escalerillas poda
SOLIDAGO;Cambio de pingos poda;camas/hora;15;SOLIDAGOCambio de pingos poda
SOLIDAGO;Colocación de alambre;camas/hora;6;SOLIDAGOColocación de alambre
SOLIDAGO;Colocación de mallas;mallas/hora;3;SOLIDAGOColocación de mallas
SOLIDAGO;Colocación de pingos;pingos/hora;15;SOLIDAGOColocación de pingos
SOLIDAGO;Cosecha;mallas/hora;20;SOLIDAGOCosecha
SOLIDAGO;Malleros;mallas/hora;300;SOLIDAGOMalleros
SOLIDAGO;Desmalezado;camas/hora;3;SOLIDAGODesmalezado
SOLIDAGO;Escarif. Siem;camas/hora;4;SOLIDAGOEscarif. Siem
SOLIDAGO;Escarif. Poda;camas/hora;3;SOLIDAGOEscarif. Poda
SOLIDAGO;Guiado / Peinado;camas/hora;6;SOLIDAGOGuiado / Peinado
SOLIDAGO;Pinch;camas/hora;2;SOLIDAGOPinch
SOLIDAGO;Poda guadañado ;camas/hora;2;SOLIDAGOPoda guadañado 
SOLIDAGO;Raleo poda / Selección;plantas/hora;300;SOLIDAGORaleo poda / Selección
SOLIDAGO;Raleo siembra / Selección;plantas/hora;500;SOLIDAGORaleo siembra / Selección
SOLIDAGO;Sacado de hoja;camas/hora;0.7;SOLIDAGOSacado de hoja
SOLIDAGO;Siembra;plantas/hora;1000;SOLIDAGOSiembra
SOLIDAGO;Trinchado;camas/hora;4;SOLIDAGOTrinchado
SOLIDAGO;Tejido viejo;camas/hora;4;SOLIDAGOTejido viejo
SOLIDAGO;Tumba;camas/hora;3;SOLIDAGOTumba
SOLIDAGO;Tutoreo;camas/hora;6;SOLIDAGOTutoreo
SOLIDAGO;Vegetativo;camas/hora;6;SOLIDAGOVegetativo
SUNFLOWER;Cosecha;mallas/hora;8.333333333;SUNFLOWERCosecha
SUNFLOWER;Alzado de hombros con compost;camas/hora;4;SUNFLOWERAlzado de hombros con compost
SUNFLOWER;Alzado de hombros sin compost;camas/hora;6;SUNFLOWERAlzado de hombros sin compost
SUNFLOWER;Colocación de alambre;camas/hora;6;SUNFLOWERColocación de alambre
SUNFLOWER;Malleros;mallas/hora;300;SUNFLOWERMalleros
SUNFLOWER;Colocación de escalerillas;camas/hora;5;SUNFLOWERColocación de escalerillas
SUNFLOWER;Colocación de mallas;camas/hora;2;SUNFLOWERColocación de mallas
SUNFLOWER;Colocación de pingos ;camas/hora;12;SUNFLOWERColocación de pingos 
SUNFLOWER;Desmalezado;camas/hora;1.5;SUNFLOWERDesmalezado
SUNFLOWER;Destapado de saran;camas/hora;4;SUNFLOWERDestapado de saran
SUNFLOWER;Escarificado;camas/hora;4;SUNFLOWEREscarificado
SUNFLOWER;Alzado de camas;camas/hora;0.6;SUNFLOWERAlzado de camas
SUNFLOWER;Siem.Semilla;semillas/hora;1200;SUNFLOWERSiem.Semilla
SUNFLOWER;Siem.Plantula;plantas/hora;650;SUNFLOWERSiem.Plantula
SUNFLOWER;Tumba;camas/hora;3;SUNFLOWERTumba
SUNFLOWER;Trinchado;camas/hora;4;SUNFLOWERTrinchado
SUNFLOWER;Tapado con saran;camas/hora;3;SUNFLOWERTapado con saran
SUNFLOWER;Tutoreo;camas/hora;7;SUNFLOWERTutoreo
FERTILIZACION;Picar Caminos;camas/hora;6;FERTILIZACIONPicar Caminos
FERTILIZACION;Desarmada;camas/hora;3;FERTILIZACIONDesarmada
FERTILIZACION;Trinchar;camas/hora;5;FERTILIZACIONTrinchar
FERTILIZACION;Surco Siembra;camas/hora;10;FERTILIZACIONSurco Siembra
FERTILIZACION;Col. Mang. Simb;camas/hora;7;FERTILIZACIONCol. Mang. Simb
FERTILIZACION;Col.Mang. Poda;camas/hora;10;FERTILIZACIONCol.Mang. Poda
FERTILIZACION;Sacar Mangueras;camas/hora;10;FERTILIZACIONSacar Mangueras
FERTILIZACION;Col. Blaukorn Gyp;camas/hora;12;FERTILIZACIONCol. Blaukorn Gyp
FERTILIZACION;Varios;camas/hora;1;FERTILIZACIONVarios
FERTILIZACION;Col. Calcimed;camas/hora;2;FERTILIZACIONCol. Calcimed
FUMIGACION;Fumigación;camas/hora;32;FUMIGACIONFumigación
FUMIGACION;Enraizantes;camas/hora;46;FUMIGACIONEnraizantes
FUMIGACION;Giberélico;camas/hora;28;FUMIGACIONGiberélico
FUMIGACION;Drench;camas/hora;23;FUMIGACIONDrench
FUMIGACION;Desinfección;camas/hora;23;FUMIGACIONDesinfección
FUMIGACION;Operadores;camas/hora;1;FUMIGACIONOperadores
FUMIGACION;Varios;camas/hora;1;FUMIGACIONVarios
